id,distance,available_time_start,current_humudity,available_time_end
1,209,13,0,14
2,214,16,1,17
3,241,9,1,10
4,170,9,1,10
5,96,10,0,11
6,207,11,0,12
7,187,10,1,11
8,231,12,1,15
9,104,7,0,9
10,167,12,0,13
11,240,15,0,18
12,108,12,0,15
13,142,6,1,9
14,229,12,0,14
15,233,10,1,11
16,235,8,1,11
17,193,8,1,10
18,128,9,0,11
19,160,17,0,19
20,163,7,0,10
21,184,7,0,8
22,227,6,1,9
23,197,10,0,13
24,165,9,0,10
25,142,16,1,17
26,183,15,0,16
27,128,7,1,9
28,150,8,1,9
29,80,12,1,15
30,220,12,1,13
31,202,17,1,20
32,141,9,1,11
33,111,10,1,13
34,237,10,1,13
35,108,11,0,12
36,128,14,0,15
37,109,7,0,10
38,223,10,0,11
39,247,17,1,19
40,98,8,0,10
41,97,9,1,10
42,80,15,0,17
43,157,11,0,12
44,194,17,0,20
45,192,13,1,16
46,193,6,0,8
47,245,15,1,16
48,142,13,1,14
49,211,16,0,18
50,208,12,0,15
51,87,6,0,8
52,236,7,1,10
53,134,8,0,9
54,182,6,1,9
55,210,14,1,16
56,111,13,0,14
57,89,7,0,9
58,189,14,1,16
59,241,12,1,15
60,203,14,1,16
61,166,11,0,14
62,134,11,1,12
63,111,16,0,19
64,214,9,1,10
65,172,15,1,18
66,87,15,0,17
67,144,7,1,10
68,136,12,0,15
69,146,10,0,11
70,151,16,1,18
71,133,11,0,14
72,146,7,0,9
73,130,10,1,13
74,176,15,0,18
75,171,9,0,11
76,87,14,0,17
77,241,11,1,13
78,114,7,0,10
79,175,6,1,7
80,167,10,1,12
