id,distance,available_time_start,available_time_end,current_charge,battery_capacity,charge_speed,discharge_rate
1,115,20,21,12,80,12,6
2,81,0,4,7,150,6,4
3,264,15,21,9,150,12,8
4,240,6,18,8,80,11,4
5,135,4,13,17,80,14,3
6,100,21,22,1,100,14,8
7,202,22,23,4,120,6,4
8,235,2,21,4,80,10,7
9,112,11,12,5,100,10,5
10,239,15,16,18,100,7,3
11,174,18,19,7,120,6,4
12,199,4,9,15,150,5,3
13,107,21,22,12,80,10,9
14,107,13,17,0,120,9,3
15,135,4,5,19,80,13,8
16,98,14,16,16,100,5,9
17,229,16,17,6,100,11,8
18,219,13,18,12,150,9,5
19,119,19,20,3,100,9,9
20,64,4,7,3,100,6,7
21,103,11,23,5,120,7,3
22,284,15,16,18,80,11,4
23,237,15,16,11,80,10,6
24,150,20,21,6,120,6,3
25,274,6,23,9,150,10,3
26,57,3,13,18,80,6,5
27,102,0,23,6,100,6,7
28,109,4,5,2,80,6,6
29,285,22,23,12,100,7,9
30,157,9,17,12,150,6,9
31,54,21,22,17,120,8,9
32,152,4,20,19,80,13,8
33,245,3,16,7,120,10,8
34,55,1,22,8,80,5,4
35,158,19,20,6,100,12,6
36,273,9,19,0,120,11,9
37,165,18,19,2,80,14,8
38,143,0,4,12,100,7,4
39,96,23,24,16,120,5,7
40,148,4,9,0,120,9,4
41,104,12,19,5,80,8,8
42,217,3,12,5,80,14,5
43,101,15,16,11,80,12,5
44,193,23,24,12,100,5,9
45,62,15,16,12,80,14,5
46,163,22,23,14,120,5,9
47,173,1,19,15,120,8,9
48,155,16,17,10,80,12,8
49,207,19,20,4,80,9,5
50,196,23,24,3,150,6,9
51,194,11,12,2,120,10,6
52,169,17,18,18,100,9,7
53,112,2,12,19,150,6,4
54,68,0,20,17,80,7,4
55,141,0,21,14,80,13,8
56,107,18,19,8,120,11,5
57,232,10,21,16,80,11,5
58,139,4,23,13,100,10,9
59,278,11,16,14,120,12,3
60,267,2,7,0,80,8,9
61,166,0,13,2,120,12,7
62,111,0,21,15,80,8,6
63,72,7,10,10,80,12,4
64,176,9,10,11,80,13,9
65,186,10,14,9,100,7,3
66,189,11,12,15,100,7,3
67,294,12,13,7,120,6,9
68,178,11,23,5,80,14,8
69,107,13,14,11,80,7,4
70,171,1,11,7,100,7,8
71,50,18,19,3,80,9,6
72,288,17,18,7,100,9,3
73,83,2,12,17,80,6,3
74,145,22,23,4,120,14,7
75,175,16,17,8,80,10,6
76,167,7,12,3,80,9,3
77,97,9,17,16,150,10,6
78,138,1,6,8,100,5,4
79,281,18,19,0,80,9,5
80,286,8,14,19,80,13,3
